symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00023000,-0.373,0.06148544,0.06165000,0.06143000,2.08720000,0.06143000,23.60030000,0.06144000,28.86150000,0.06166000,0.06172000,0.06127000,6312.63190000,388.13496730,1694862182306,1694948582306,423059993,423075117,15125
LTCBTC,-0.00004100,-1.668,0.00242228,0.00245800,0.00241700,37.95900000,0.00241500,303.57400000,0.00241700,236.33700000,0.00245800,0.00246300,0.00239500,52390.71500000,126.90506995,1694862182040,1694948582040,93498278,93510731,12454
BNBBTC,0.00000300,0.037,0.00807977,0.00807700,0.00808000,0.90400000,0.00807900,10.45800000,0.00808000,6.71700000,0.00807700,0.00810600,0.00804800,20128.05400000,162.62996436,1694862182492,1694948582492,227111482,227132507,21026
NEOBTC,-0.00000380,-1.377,0.00027148,0.00027630,0.00027210,44.26000000,0.00027200,4.56000000,0.00027210,34.72000000,0.00027590,0.00027710,0.00026700,12297.64000000,3.33856421,1694862071472,1694948471472,45510152,45512634,2483
QTUMETH,-0.00004000,-2.939,0.00134549,0.00136000,0.00132100,13.00000000,0.00132000,145.60000000,0.00132500,200.00000000,0.00136100,0.00137500,0.00132100,2940.10000000,3.95586580,1694862154554,1694948554554,5401943,5402024,82
EOSETH,-0.00000400,-1.138,0.00035041,0.00035130,0.00034760,52.40000000,0.00034760,558.50000000,0.00034840,663.40000000,0.00035160,0.00035400,0.00034660,8677.80000000,3.04075681,1694862172642,1694948572642,23497647,23497769,123
SNTETH,-0.00000025,-1.825,0.00001354,0.00001358,0.00001345,290.00000000,0.00001344,4551.00000000,0.00001352,20637.00000000,0.00001370,0.00001372,0.00001339,50198.00000000,0.67963409,1694862181179,1694948581179,3906848,3906865,18
BNTETH,-0.00000510,-1.942,0.00026000,0.00026180,0.00025750,7.30000000,0.00025840,479.30000000,0.00025950,555.70000000,0.00026260,0.00026400,0.00025420,29297.50000000,7.61734328,1694862178401,1694948578401,2234826,2235067,242
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
GASBTC,0.00000110,1.225,0.00009005,0.00008970,0.00009090,29.60000000,0.00009070,5.20000000,0.00009080,230.50000000,0.00008980,0.00009130,0.00008810,21551.20000000,1.94076454,1694862177466,1694948577466,20797492,20800154,2663
